가게명,요리,개업,운영상태,별점,리뷰
호츠,이자카야,새로오픈,영업 중,,리뷰 124
이자카야청심,이자카야,,영업 중,,
하이바 건대점,요리주점,,영업 중,,
육미제당 구의역점,"육류,고기요리",새로오픈,영업 중,,리뷰 282
해남닭집,"치킨,닭강정",,영업 중,별점4.53,리뷰 669
빕스 어린이대공원점,패밀리레스토랑,,영업 중,별점4.39,리뷰 999+
케익다방 건대점,"카페,디저트",,영업 중,별점4.55,리뷰 999+
엘루이피자,"맥주,호프",,영업 중,,
일품대가삼계탕,"백숙,삼계탕",,영업 중,별점4.3,리뷰 999+
비에이치테이블,브런치,,영업 중,별점4.54,리뷰 919
선남sea,일식당,,영업 중,별점4.4,리뷰 999+
고흥순대국머리고기 본점,"순대,순댓국",,영업 중,별점4.45,리뷰 999+
멘쇼,일본식라면,,영업 중,별점4.48,리뷰 999+
코후쿠,이자카야,,영업 중,별점4.54,리뷰 999+
가마로,돼지고기구이,,24시간 영업,,
화랑고기,한식,,영업 중,,
미가담,보리밥,,영업 종료,별점4.39,리뷰 583
주다방 건대점,요리주점,,영업 전,별점4.2,리뷰 250
언리미티드,술집,,영업 전,별점4.51,리뷰 999+
972Bar,바(BAR),,영업 전,별점4.63,리뷰 999+
토리광,이자카야,,영업 중,별점4.5,리뷰 830
건대우동집,"우동,소바",,24시간 영업,별점4.44,리뷰 999+
어멍네고기국수,국수,,영업 종료,별점4.55,리뷰 411
아오스요거트,"카페,디저트",,영업 중,별점4.51,리뷰 999+
덤인사이트,"멕시코,남미음식",,영업 중,,
환이네갈비살 본점,"육류,고기요리",,영업 중,별점4.4,리뷰 921
얼땅쟈 본점,중식당,,영업 중,별점4.52,리뷰 989
라라관 성수건대점,중식당,,영업 중,,
송쉐프 구의점,중식당,,영업 중,별점4.44,리뷰 999+
에이콥베이커리 롯데백화점 건대스타시티점,베이커리,새로오픈,영업 중,,리뷰 46
한식당,한식,,영업 중,별점4.72,리뷰 585
천지샤브샤브 2호점,샤브샤브,,영업 중,별점4.54,리뷰 999+
냥토피아 카페앤샵,"카페,디저트",,영업 중,별점4.74,리뷰 999+
시홍쓰,중식당,,오늘 휴무,별점4.56,리뷰 940
안다미로 팬케이크 건대점,"카페,디저트",,영업 중,별점4.59,리뷰 999+
이찌방이야기 건대점,이자카야,,영업 중,별점4.49,리뷰 999+
구의동손칼국수,"칼국수,만두",,영업 중,별점4.52,리뷰 868
질서정연,양식,,영업 중,별점4.48,리뷰 663
자양다방,"카페,디저트",,영업 중,,
찜집,한식,,영업 중,별점4.41,리뷰 999+
정직유부 건대점,분식,,영업 중,,
시장을여는사람들 건대점,요리주점,,영업 중,,
마당족발,"족발,보쌈",,영업 중,별점4.45,리뷰 999+
하츠커피,"카페,디저트",,영업 중,,
최신족발,"족발,보쌈",,영업 중,별점4.4,리뷰 999+
조선주막 건대점,요리주점,,영업 중,별점4.45,리뷰 999+
육화본,돼지고기구이,,영업 중,,
꽃삼뚜껑 구의역점,"육류,고기요리",새로오픈,영업 중,,리뷰 332
랑데자뷰 건대점,"카페,디저트",,영업 중,별점4.36,리뷰 999+
멜티도나 메리고라운드,"카페,디저트",,영업 중,,
연길양꼬치 연길냉면 건대본점,양꼬치,,영업 중,별점4.39,리뷰 999+
심야식당 하리,이자카야,,영업 중,별점4.6,리뷰 395
대흥양다리바베큐 건대점,양꼬치,,영업 중,,
동경생포차 건대점,이자카야,새로오픈,영업 중,,리뷰 88
수퍼슬라이더스,양식,,영업 중,별점4.61,리뷰 999+
이찌방이야기 본점,이자카야,,곧 영업 시작,,
육회한연어 건대점,요리주점,,영업 중,,
심술집,요리주점,,영업 중,별점4.87,리뷰 999+
연탄불꿀곱창,"곱창,막창,양",,영업 중,별점4.35,리뷰 529
연옥양꼬치,양꼬치,,영업 중,별점4.75,리뷰 999+
카페호이 CAFEHO2,"카페,디저트",,영업 중,별점4.49,리뷰 847
조현우국밥,국밥,,영업 종료,별점4.79,리뷰 375
꼴목,한식,,영업 중,별점4.39,리뷰 465
홍야동양꼬치 훠궈무한리필,양꼬치,,영업 중,별점4.52,리뷰 535
우성식당,기사식당,,영업 중,별점4.22,리뷰 999+
환원당,"카페,디저트",,영업 중,,
옴브르,"카페,디저트",,영업 중,,
미분당 건대점,베트남음식,,영업 중,별점4.44,리뷰 999+
겐로쿠우동 건대직영점,"우동,소바",,영업 중,별점4.6,리뷰 999+
열매제과점,베이커리,,영업 중,별점4.7,리뷰 930
밤을 걷는 선비,요리주점,,영업 중,,
탐앤탐스 탐스커버리 건대점,카페,,24시간 영업,별점4.35,리뷰 999+
매화반점 본점,양꼬치,,영업 중,별점4.28,리뷰 999+
평창고추장닭갈비 자양본점,"육류,고기요리",,영업 중,별점4.41,리뷰 887
한잔의술 건대점,술집,,영업 중,,
포크포크 건대직영점,돈가스,,영업 중,별점4.54,리뷰 999+
부탄츄 건대점,일본식라면,,영업 중,별점4.33,리뷰 999+
건대스시,일식당,,영업 중,별점4.52,리뷰 763
고기대통령 본점,소고기구이,,영업 중,별점4.47,리뷰 999+
언필드,"카페,디저트",,영업 중,,
설빙 건대지점,빙수,,영업 중,별점4.3,리뷰 999+
명륜진사갈비 서울자양점,"육류,고기요리",,영업 중,별점4.3,리뷰 999+
신선술집 도원,요리주점,,영업 중,,
건대족발,"족발,보쌈",,영업 중,별점4.79,리뷰 592
대박치킨 본점,"치킨,닭강정",,영업 중,별점4.4,리뷰 999+
한사바리,요리주점,,영업 중,별점4.56,리뷰 361
팬더스윗 건대점,브런치,,영업 중,별점4.46,리뷰 785
마마향양갈비,양갈비,새로오픈,영업 중,,리뷰 286
흥도식당 화양점,돈가스,,영업 중,,
화양시장할머니순대국,"순대,순댓국",,영업 중,,
도키도키 이자카야,이자카야,,곧 영업 시작,,
가츠시 건대점,일식당,,오늘 휴무,별점4.57,리뷰 999+
하루 건대점,이자카야,,영업 중,,
고공 구의점,"육류,고기요리",,영업 중,,
한사발포차 건대입구점,요리주점,새로오픈,영업 중,,리뷰 35
전포여관 서울건대점,요리주점,,영업 중,,
유월의 보리,한식,,영업 중,,
고망고 건대점,"과일,주스전문점",,영업 중,별점4.48,리뷰 999+
청춘등판,한식,,영업 중,별점4.87,리뷰 999+
참숯벽돌집 건대본점,"육류,고기요리",,영업 중,별점4.55,리뷰 730
매드밤,바(BAR),,곧 영업 시작,별점4.79,리뷰 671
깍뚝,돼지고기구이,,영업 중,별점4.49,리뷰 999+
지구상사 건대점,요리주점,,곧 영업 시작,별점4.35,리뷰 938
정통집 건대점,돼지고기구이,,영업 중,별점4.39,리뷰 932
안주나라,술집,,영업 중,별점4.48,리뷰 336
디슬로,바(BAR),,영업 중,별점4.96,리뷰 780
소문난만두,"칼국수,만두",,영업 중,별점4.24,리뷰 378
양숙이네,한식,,영업 중,별점4.64,리뷰 363
반티엔야오 카오위 건대점,중식당,,영업 중,,
카페롱,"카페,디저트",,영업 중,별점4.46,리뷰 999+
적온 뮤직바&책바,술집,,영업 전,,
서교주담 건대,요리주점,,영업 중,,
매화반점,양꼬치,,영업 중,별점4.1,리뷰 971
나카노라멘,일본식라면,,영업 중,,
해룡마라룽샤 건대점,중식당,,영업 중,별점4.52,리뷰 999+
육쌈냉면 건대점,냉면,,영업 중,별점4.15,리뷰 847
파머스포케 건대점,"다이어트,샐러드",,영업 중,,
하이볼 맛집 백종원의 막이오름 건대점,요리주점,,영업 중,,
백미원 건대점,중식당,,영업 중,별점4.37,리뷰 999+
콩불 건대점,"육류,고기요리",,영업 중,,
카페온더플랜 건대점,"카페,디저트",,영업 중,별점4.31,리뷰 919
도단집,돼지고기구이,,영업 중,별점4.66,리뷰 847
서울 주해옥 돼지곱창전골 건대본점,"육류,고기요리",새로오픈,영업 중,,리뷰 476
통큰감자탕 건대본점,감자탕,,영업 중,별점4.53,리뷰 999+
마실리아,요리주점,,24시간 영업,별점4.32,리뷰 373
로꼬브리또 자양점,"멕시코,남미음식",,영업 중,별점4.72,리뷰 368
무한양꼬치,양꼬치,,영업 중,별점4.43,리뷰 729
삼백집 건대점,국밥,,영업 중,별점4.34,리뷰 999+
타스 더안주셀렉트샵,요리주점,,영업 중,,
믹스라운지,바(BAR),,영업 전,,
베어글스 건대,"카페,디저트",,영업 중,,
엠브로돈까스 건대점,돈가스,,영업 중,별점4.8,리뷰 999+
평화김해뒷고기 건대점,"육류,고기요리",,영업 중,,
우동연가,종합분식,,24시간 영업,별점4.45,리뷰 999+
오사카고양이 건대점,이자카야,,영업 중,,
백소정 건대본점,일식당,,영업 중,,
서소문순두부보쌈,"족발,보쌈",,영업 중,별점4.29,리뷰 999+
서울낙업,이자카야,,영업 중,,
오드커피숍,카페,새로오픈,영업 중,,리뷰 121
강경수참치,생선회,,곧 영업 시작,별점4.62,리뷰 269
몽움,요리주점,,영업 중,,
폰버거,햄버거,,영업 중,,
쏘스윗 건대,"카페,디저트",,영업 중,,
카페드라이,"카페,디저트",,영업 중,별점4.52,리뷰 973
아웃백스테이크하우스 건대스타시티점,패밀리레스토랑,,영업 중,,
애드앤드,"카페,디저트",,영업 중,별점4.76,리뷰 575
오포케,"다이어트,샐러드",,영업 중,,
신창면옥,냉면,,영업 중,별점4.37,리뷰 246
카페704호,"카페,디저트",,영업 중,별점4.72,리뷰 365
기절초풍물닭갈비 자양점,닭갈비,,영업 중,,
트라타 건국대점,"멕시코,남미음식",,영업 중,별점4.43,리뷰 999+
알콜스낵,요리주점,,영업 중,,
단골손님 건대점,요리주점,,영업 중,,
지속,"카페,디저트",,영업 중,별점4.63,리뷰 641
망향비빔국수 화양점,국수,,영업 중,,
김밥천국 건대2호점,분식,,영업 중,별점4.25,리뷰 966
한남성왕꼬치,양꼬치,새로오픈,영업 중,,리뷰 143
은비스브레드 건국대,베이커리,,영업 중,,
능동샐러드,"다이어트,샐러드",,영업 중,별점4.61,리뷰 662
철길부산집 건대점,요리주점,,영업 중,,
미친양꼬치,양꼬치,,영업 중,별점4.59,리뷰 690
초라멘,일본식라면,,영업 중,별점4.68,리뷰 999+
훈춘양꼬치,양꼬치,,영업 중,별점4.52,리뷰 580
건대연어덮밥,일식당,,영업 중,,
이타주의,요리주점,,영업 중,,
하노이맥주밤거리 건대점,요리주점,,영업 중,,
청도양꼬치,양꼬치,,영업 중,별점4.69,리뷰 944
더블유,요리주점,,영업 중,별점4.33,리뷰 999+
