가게명,요리,개업,운영상태,별점,리뷰
참치아도로 이수본점,생선회,새로오픈,영업 중,,리뷰 42
샐러드식당 사당점,"다이어트,샐러드",,영업 종료,,리뷰 240
인생극장쪽갈비 이수점,돼지고기구이,,영업 중,,리뷰 429
제이앤제이바,바(BAR),,영업 중,,리뷰 513
양계장집아들 방배본점,"치킨,닭강정",,영업 중,별점4.38,리뷰 477
상아김밥 이수점,분식,,영업 종료,별점4.51,리뷰 979
꿀돈,"육류,고기요리",,영업 중,,리뷰 283
강원도감자옹심이,한식,,영업 종료,별점4.09,리뷰 378
투썸플레이스 이수역사거리점,카페,,영업 중,,리뷰 999+
할리스커피 이수역점,카페,,영업 중,별점4.16,리뷰 999+
시선 이수역점,이자카야,,영업 중,,리뷰 285
TMB 숯불닭바베큐,"치킨,닭강정",,영업 중,별점4.35,리뷰 372
주원명가,한식,,영업 종료,별점4.4,리뷰 254
이삭토스트 이수역점,토스트,,영업 종료,별점4.58,리뷰 841
라바트리 방배,카페,,영업 중,별점4.71,리뷰 821
시스트로,양식,,영업 중,별점4.27,리뷰 183
한가어죽 사당점,한식,,영업 종료,,리뷰 19
왕금성 이수역점,중식당,,영업 종료,,리뷰 446
낭만짚불구이 이수역점,요리주점,,영업 중,,리뷰 94
빽다방 총신대입구역점,테이크아웃커피,,영업 종료,,리뷰 999+
레발콩 사당이수 본점,"카페,디저트",,영업 중,,리뷰 442
오봉집 사당점,한식,,영업 종료,별점4.52,리뷰 425
타코익스프레스,"멕시코,남미음식",,영업 중,,리뷰 44
스타벅스 이수역사거리점,카페,,영업 중,별점4.43,리뷰 999+
인쌩맥주 이수역점,"맥주,호프",,영업 중,,리뷰 576
새퍼커피,카페,,영업 종료,별점4.84,리뷰 440
스타벅스 이수자이점,카페,,영업 중,별점4.47,리뷰 999+
단미,"카페,디저트",,영업 종료,별점4.67,리뷰 160
옹기종기식당,한식,,영업 종료,,리뷰 45
쌈이랑고기랑 쌈밥,쌈밥,,영업 중,별점4.33,리뷰 376
파리바게뜨 이수태평점,베이커리,,영업 중,별점4.33,리뷰 999+
908,술집,,영업 중,,리뷰 360
23번지남산돈까스 이수역점,돈가스,,영업 종료,,리뷰 284
이모네막국수,막국수,,영업 중,별점4.25,리뷰 494
왓츠플레이버,햄버거,,영업 종료,,리뷰 381
방오돈 경양식돈가스 스낵바,돈가스,,영업 중,,리뷰 43
포몬스 방배점,베트남음식,,영업 중,별점4.29,리뷰 999+
땡초우동인포차 사당점,"우동,소바",,영업 중,별점4.42,리뷰 376
비지엠커피,"카페,디저트",,영업 중,별점4.79,리뷰 999+
맛닭꼬 이수역점,"치킨,닭강정",,영업 중,별점4.36,리뷰 280
마장동 고기집 이수역점,소고기구이,,영업 중,,리뷰 272
투썸플레이스 이수역점,카페,,영업 중,별점4.48,리뷰 999+
반,소고기구이,,영업 중,별점4.5,리뷰 352
윤초밥 이수역점,"초밥,롤",,영업 종료,,리뷰 660
라무진 이수점,양갈비,,영업 중,별점4.47,리뷰 477
완미족발 서울사당점,"족발,보쌈",,영업 중,,리뷰 647
담소소사골순대육개장 이수역점,"순대,순댓국",,영업 중,별점4.29,리뷰 999+
이디야커피 총신대입구역점,카페,,영업 중,,리뷰 774
우언트,요리주점,,영업 중,,리뷰 101
서울이수커피,"카페,디저트",,영업 중,,리뷰 64
소소정,갈비탕,,영업 종료,별점4.12,리뷰 250
놀부한방족발,"족발,보쌈",,영업 종료,별점4.27,리뷰 999+
만발,소고기구이,,영업 중,별점4.65,리뷰 225
딴짓제과점,베이커리,,영업 종료,,리뷰 265
진부령황태촌이수점,"해물,생선요리",,영업 종료,별점4.31,리뷰 940
배스킨라빈스 이수역,아이스크림,,영업 중,별점4.42,리뷰 999+
