가게명,요리,개업,운영상태,별점,리뷰
아올,양식,,영업 중,별점4.74,리뷰 999+
도툼횟집,생선회,,영업 중,별점4.43,리뷰 600
호미호식 강남본점,일식당,,곧 영업 종료,별점4.92,리뷰 999+
피그인더가든 강남점,"다이어트,샐러드",,영업 종료,별점4.32,리뷰 999+
창고43 강남점,소고기구이,,영업 중,별점4.45,리뷰 999+
오봉집 강남역점,한식,,영업 중,,리뷰 999+
사유의서재,양식,,영업 중,,리뷰 999+
이춘복참치&스시 강남점,생선회,,영업 중,별점4.28,리뷰 999+
참치공방 강남점,생선회,,영업 중,별점4.32,리뷰 999+
이자카야나무 서초점,이자카야,,영업 중,별점4.43,리뷰 999+
왓쇼이켄,일본식라면,,영업 종료,별점4.54,리뷰 999+
철길부산집 강남역점,요리주점,새로오픈,영업 중,,리뷰 42
돈비고고 강남본점,돈가스,,영업 종료,,리뷰 999+
고메스시,"초밥,롤",,영업 중,,리뷰 999+
이자카야나무 강남역2호점,이자카야,,영업 중,별점4.35,리뷰 999+
조양관한정식,한정식,,곧 영업 종료,별점4.59,리뷰 999+
셀렉티드닉스,"카페,디저트",새로오픈,영업 중,,리뷰 999+
레뽀드라라 강남점,카페,,영업 종료,,리뷰 999+
파이브가이즈 강남,햄버거,,영업 중,,리뷰 999+
브릭오븐,피자,,영업 중,별점4.34,리뷰 999+
교대이층집 강남역점,"육류,고기요리",,영업 중,별점4.42,리뷰 999+
백억하누 강남본점,소고기구이,,영업 중,별점4.54,리뷰 999+
부엉이산장 강남점,요리주점,,영업 중,,리뷰 999+
강남 돼지상회 무한리필,돼지고기구이,,영업 중,별점4.63,리뷰 999+
무한숯불양꼬치&훠궈,양꼬치,,영업 중,별점4.77,리뷰 999+
토라 강남점,이자카야,,영업 중,,리뷰 999+
육미안 강남점,소고기구이,,영업 중,,리뷰 999+
쉐이크쉑 강남대로점,햄버거,,영업 중,별점4.44,리뷰 999+
크라프트카페,"카페,디저트",,영업 중,별점4.43,리뷰 758
차슈밍,중식당,,영업 중,,리뷰 999+
훠궈나라 강남점,중식당,,영업 중,별점4.39,리뷰 999+
이찌타코,이자카야,,영업 중,,리뷰 34
아실라 강남점,와인,,영업 중,별점4.43,리뷰 999+
퀸즈가든 강남역점,샤브샤브,,영업 중,별점4.33,리뷰 999+
1992 덮밥&짜글이 강남본점,한식,,영업 중,,리뷰 999+
중경마라탕 강남역점,중식당,,영업 중,별점4.52,리뷰 999+
두껍삼 강남직영점,돼지고기구이,,영업 중,,리뷰 999+
마유유 마라탕 강남역점,중식당,,곧 영업 종료,별점5,리뷰 999+
아트몬스터 강남역점,"맥주,호프",,영업 중,별점4.55,리뷰 999+
라그릴리아 SPC스퀘어점,이탈리아음식,,오늘 휴무,,리뷰 999+
나즈드라비,"맥주,호프",,영업 중,별점4.66,리뷰 999+
셀렉티드마롱,"카페,디저트",,영업 중,별점4.94,리뷰 999+
도마3 강남본점,소고기구이,,영업 중,별점4.48,리뷰 999+
모범갈빗살 강남역본점,"육류,고기요리",,영업 중,별점4.51,리뷰 999+
60년전통신촌황소곱창 강남역직영점,"곱창,막창,양",,영업 중,별점4.6,리뷰 999+
푸주옥,"곰탕,설렁탕",,영업 중,별점4.38,리뷰 666
반티엔야오 카오위 강남점,중식당,,영업 중,별점4.82,리뷰 999+
프라텔리,"카페,디저트",,영업 중,,리뷰 999+
꼬꼬아찌 숯불치킨 강남점,"치킨,닭강정",,영업 중,별점4.42,리뷰 781
참치스토리,생선회,,영업 중,,리뷰 999+
카페마마스 강남역점,양식,,영업 종료,,리뷰 999+
주나수산,생선회,새로오픈,영업 중,,리뷰 196
군선생 강남점,생선구이,,영업 종료,별점4.42,리뷰 844
456포차,포장마차,,영업 중,,리뷰 240
반갑다 하대포,"육류,고기요리",,영업 중,별점4.51,리뷰 999+
