가게명,요리,개업,운영상태,별점,리뷰
도스마스 한양대점,"멕시코,남미음식",,오늘 휴무,별점4.43,리뷰 220
누아흐,"카페,디저트",,영업 종료,별점4.83,리뷰 652
시선 한양대점,이자카야,,영업 중,,
이흥부오향족발 뚝섬점,"족발,보쌈",,영업 중,별점4.48,리뷰 314
알촌 한양대점,퓨전음식,,영업 중,별점4.5,리뷰 999+
프레퍼스 다이어트 푸드 왕십리점,"다이어트,샐러드",,영업 중,,
무브온 성수,바(BAR),,영업 중,,
치커리생구이,한식,,영업 중,,
양가,양갈비,,영업 중,별점4.48,리뷰 292
스타벅스 왕십리역9번출구점,카페,,영업 중,,
군자대한곱창 한양대점,"곱창,막창,양",,영업 중,별점4.49,리뷰 548
시치미,한식,,오늘 휴무,,
팔오스낵 답십리로데오점,종합분식,,영업 중,,
순곱이네 한양대점,"찌개,전골",,영업 중,별점4.43,리뷰 637
금룡,중식당,,24시간 영업,별점4.21,리뷰 471
아뜰리에8,"카페,디저트",,영업 중,,
성수BONE 성수동한우짝갈비,"육류,고기요리",,영업 종료,별점4.45,리뷰 442
쓰리닷츠,"카페,디저트",,영업 중,별점4.88,리뷰 206
제일양대창,"곱창,막창,양",,영업 전,별점4.76,리뷰 220
메가MGC커피 왕십리역점,카페,,영업 중,별점4.47,리뷰 999+
엄마김치찌개,"찌개,전골",,영업 중,별점4.34,리뷰 525
샐러디 한양대점,"다이어트,샐러드",,영업 중,별점4.43,리뷰 999+
담쟁이,한식,,영업 중,별점4.31,리뷰 537
경복궁만두,한식,,영업 중,별점4.31,리뷰 353
더팔당 왕십리점,한식,,영업 중,별점4.53,리뷰 390
더스토리지,"카페,디저트",,영업 중,별점4.47,리뷰 315
소담이네김밥&국수,김밥,,영업 종료,별점4.56,리뷰 240
뉴스타 하이볼 한양대점,"맥주,호프",,영업 중,,
본 죽&비빔밥 한양대점,죽,,영업 종료,별점4.24,리뷰 583
곳간바이멜드,양식,,영업 중,,
경성맥주 용답점,"맥주,호프",새로오픈,영업 중,,리뷰 12
달포차,포장마차,,영업 중,별점4.35,리뷰 586
